Позиция;Cost 2026;Цена сейчас;Маржа сейчас %;Новая цена (Phase 1);Маржа новая %;Изменение %;Действие
сэндвичи;18000;20000;10.0;33000;45.5;65.0;+65%
Шмель 500мл;45500;52000;12.5;83000;45.2;59.6;+60%
18+;8700;10000;13.0;16000;45.6;60.0;+60%
red bull;18700;22000;15.0;34000;45.0;54.5;+54%
муравейники 1уп;16000;20000;20.0;29500;45.8;47.5;+48%
овсянные печеньки 1шт;7000;10000;30.0;13000;46.2;30.0;+30%
орешки со сгущенкой 18шт;25000;36000;30.6;45500;45.1;26.4;+26%
кофейные орешки 5шт;10000;15000;33.3;18500;45.9;23.3;+23%
Эспрессо-Тоник 500мл;25200;38000;33.7;46000;45.2;21.1;+21%
Морковь -яблоко фрэш 500мл;21400;35000;38.9;41500;48.4;18.6;+19%
брауни 1шт;12000;20000;40.0;24000;50.0;20.0;+20%
Апельсиновый фрэш 250мл;28400;48000;40.8;57000;50.2;18.8;+19%
Апельсиновый фрэш 500мл;45400;80000;43.2;94500;52.0;18.1;+18%
Яблочный фрэш 250мл;17000;30000;43.3;35500;52.1;18.3;+18%
мороженое 50гр;4500;8000;43.8;9500;52.6;18.8;+19%
Фраппучино 500мл;20700;38000;45.5;45000;54.0;18.4;+18%
кола;8700;16000;45.6;19000;54.2;18.8;+19%
Классический милкшейк 500мл;14800;28000;47.1;33500;55.8;19.6;+20%
Яблочный фрэш 500мл;23400;45000;48.0;53500;56.3;18.9;+19%
Сладкое молоко 250мл;4800;10000;52.0;11000;56.4;10.0;+10%
Сладкое молоко 500мл;7200;15000;52.0;16500;56.4;10.0;+10%
Банановый милкшейк  500мл;15200;32000;52.5;35500;57.2;10.9;+11%
Флэт Уайт 500мл;17600;38000;53.7;37500;53.1;-1.3;+-1%
мед 15гр;2300;5000;54.0;5500;58.2;10.0;+10%
вода без газа 0,5;2250;5000;55.0;5500;59.1;10.0;+10%
Айс-Ти 500мл;13400;30000;55.3;33000;59.4;10.0;+10%
Раф Баунти/классик 500мл;18700;42000;55.5;46500;59.8;10.7;+11%
мохито 500мл;12500;30000;58.3;33000;62.1;10.0;+10%
Капучино  500мл;12000;30000;60.0;30000;60.0;0;Без изменений
Мокко 500мл;14300;36000;60.3;36000;60.3;0;Без изменений
Облепиха -Имбирь 500мл;11500;30000;61.7;30000;61.7;0;Без изменений
сироп 15гр;2250;6000;62.5;6000;62.5;0;Без изменений
Вкусный чай 500мл;11200;30000;62.7;30000;62.7;0;Без изменений
Ягодный чай 500 мл;11200;30000;62.7;30000;62.7;0;Без изменений
Горячий шоколад 250мл;9300;26000;64.2;26000;64.2;0;Без изменений
Лонг Блэк 500мл;12000;35000;65.7;35000;65.7;0;Без изменений
Латте 500мл;9600;28000;65.7;28000;65.7;0;Без изменений
Раф Баунти/классик 250мл;11600;34000;65.9;34000;65.9;0;Без изменений
Флэт Уайт 250мл;10200;30000;66.0;30000;66.0;0;Без изменений
Капучино 250 мл;7200;25000;71.2;25000;71.2;0;Без изменений
Американо 500мл;7210;26000;72.3;26000;72.3;0;Без изменений
Мокко 250мл;8700;32000;72.8;32000;72.8;0;Без изменений
лимон 15гр;1000;4000;75.0;4000;75.0;0;Без изменений
Эспрессо двойной;6360;26000;75.5;26000;75.5;0;Без изменений
Эспрессо шот;2450;10000;75.5;10000;75.5;0;Без изменений
молоко 100мл;1850;8000;76.9;8000;76.9;0;Без изменений
Лонг Блэк 250мл;6900;30000;77.0;30000;77.0;0;Без изменений
Американо 250мл;4500;22000;79.5;22000;79.5;0;Без изменений
Эспрессо одинарный;4000;22000;81.8;22000;81.8;0;Без изменений
